Service / Tool,Bootstrap Setup (USD/mo),Automated Business Setup (USD/mo),Role in Project,Notes
Pinecone,50.00,50.00,Vector database,"Standard plan minimum spend"
Vercel,0.00,20.00,Frontend hosting,"Hobby tier vs. 1 Pro seat for Clive (Jane only edits in Sanity)"
Railway,5.00,10.00,Backend hosting,"Base Developer plan vs. higher resource consumption for Postgres + Redis"
Plausible Analytics,9.00,9.00,Web analytics,"Starter tier (up to 10k pageviews/mo, billed annually)"
Inoreader,9.99,9.99,News curation,"Pro tier for API access"
Kit (ConvertKit),0.00,29.00,Email newsletter,"Free tier (up to 10k subscribers) vs. Creator tier (up to 1k subscribers with automations)"
Sanity CMS,0.00,0.00,Headless CMS,"Free plan covers up to 3 seats"
Notion,0.00,20.00,Workspace,"Free tier vs. Plus tier ($10/mo per user for Clive and Jane)"
Exa.ai API,0.00,0.00,Search API,"Covered by $7/mo recurring free credits on Pay-As-You-Go"
Anthropic API (Claude),5.00,10.00,LLM API,"Pay-as-you-go. Based on ~25 article drafts/month"
OpenAI API,1.00,1.00,LLM API,"Pay-as-you-go. Text embeddings for semantic search"
Upstash Redis,0.00,0.00,Caching,"Within 10,000 free commands/day"
Lemon Squeezy,0.00,0.00,Payment processing,"No monthly fee; 5% + $0.50 per transaction"
Substack,0.00,0.00,Newsletter distribution,"No monthly fee; 10% revenue split on paid subscriptions"
